2026-04-10 15:02:57,813 | ERROR | N/A | N/A N/A | 127.0.0.1 - - [10/Apr/2026 15:02:57] code 400, message Bad request version ('6ÍóSj°%¾\x08\x84q\x98ñÁ2Ì\x00"\x13\x01\x13\x03\x13\x02À+À/Ì©Ì¨À,À0À')
2026-04-10 15:02:57,818 | ERROR | N/A | N/A N/A | 127.0.0.1 - - [10/Apr/2026 15:02:57] code 400, message Bad request version ('ÂP;\x15\x89?\x80°_yæ\x05d\x11\x18á(ã$\x9a.¤¹»\x00"\x13\x01\x13\x03\x13\x02À+À/Ì©Ì¨À,À0À')
2026-04-10 15:03:03,311 | ERROR | N/A | N/A N/A | 127.0.0.1 - - [10/Apr/2026 15:03:03] code 400, message Bad request syntax ('\x16\x03\x01\x07a\x01\x00\x07]\x03\x03q¯L')
2026-04-10 15:03:03,313 | ERROR | N/A | N/A N/A | 127.0.0.1 - - [10/Apr/2026 15:03:03] code 400, message Bad request version ('G3ô\x9f¿Õ¶\x04T¯I\x98æsrníàSÃÕ\x86\x00"\x13\x01\x13\x03\x13\x02À+À/Ì©Ì¨À,À0À')
2026-04-10 15:03:15,648 | ERROR | N/A | N/A N/A | 127.0.0.1 - - [10/Apr/2026 15:03:15] code 400, message Bad request version ('\x9eÀ\x05\x00"\x13\x01\x13\x03\x13\x02À+À/Ì©Ì¨À,À0À')
2026-04-10 15:03:15,650 | ERROR | N/A | N/A N/A | 127.0.0.1 - - [10/Apr/2026 15:03:15] code 400, message Bad request version ('^ä5\x00"\x13\x01\x13\x03\x13\x02À+À/Ì©Ì¨À,À0À')
2026-04-10 15:03:47,891 | WARNING | N/A | N/A N/A |  * Debugger is active!
2026-04-10 15:03:50,463 | ERROR | N/A | N/A N/A | 127.0.0.1 - - [10/Apr/2026 15:03:50] code 400, message Bad request version ('øý%¦\x1aÞ\xadhµJ´\x8dhm\x00"\x13\x01\x13\x03\x13\x02À+À/Ì©Ì¨À,À0À')
2026-04-10 15:03:50,466 | ERROR | N/A | N/A N/A | 127.0.0.1 - - [10/Apr/2026 15:03:50] code 400, message Bad HTTP/0.9 request type ('\x16\x03\x01\x02\x90\x01\x00\x02\x8c\x03\x03üª\xad³,p\x17W¨PA¼âcÒ\x8f§¥@\x8aìµ>\x01õÁhê\x97T\x93Å')
2026-04-10 16:34:01,132 | WARNING | N/A | N/A N/A |  * Debugger is active!
2026-04-10 16:37:34,384 | WARNING | 127.0.0.1 | POST http://localhost:5000/ad_11min_k/edit/1 | ^ O imóvel *Dona Elisa Restaurante* começou a ser editado pelo painél de admin
2026-04-10 16:37:34,417 | WARNING | 127.0.0.1 | POST http://localhost:5000/ad_11min_k/edit/1 | ^ O imóvel *Dona Elisa Restaurante* foi editado com sucesso pelo painél de admin
